dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.199174,5.481810,0.000035,0.003491,0.174570,8.728482,6.281374
0.020000,1.199165,5.481810,0.000044,0.000453,-0.151918,-16.324366,6.281421
0.020000,1.199145,5.481810,0.000064,0.001019,0.028316,9.011694,6.281529
0.020000,1.199108,5.481810,0.000101,0.001812,0.039646,0.566500,6.281719
0.020000,1.199052,5.481810,0.000157,0.002832,0.050982,0.566768,6.282018
0.020000,1.198970,5.481810,0.000239,0.004078,0.062326,0.567206,6.282447
0.020000,1.198859,5.481810,0.000350,0.005552,0.073683,0.567851,6.283031
0.020000,1.200498,5.481811,0.001989,0.081962,3.820499,187.340835,0.000610
0.020000,1.203142,5.481814,0.004633,0.132199,2.511852,-65.432379,0.001577
0.020000,1.206407,5.481821,0.007898,0.163233,1.551674,-48.008881,0.002772
0.020000,1.210356,5.481834,0.011847,0.197469,1.711844,8.008496,0.004220
0.020000,1.215056,5.481858,0.016547,0.234985,1.875752,8.195404,0.005946
0.020000,1.220571,5.481897,0.022062,0.275758,2.038677,8.146228,0.007974
0.020000,1.226966,5.481955,0.028457,0.319765,2.200332,8.082761,0.010331
0.020000,1.234306,5.482041,0.035797,0.367008,2.362174,8.092084,0.013042
0.020000,1.242655,5.482163,0.044148,0.417522,2.525677,8.175186,0.016135
0.020000,1.252079,5.482331,0.053573,0.471255,2.686658,8.049030,0.019636
0.020000,1.262640,5.482560,0.064137,0.528196,2.847074,8.020825,0.023572
0.020000,1.274404,5.482863,0.075905,0.588401,3.010242,8.158394,0.027973
0.020000,1.287434,5.483259,0.088940,0.651772,3.168515,7.913625,0.032866
0.020000,1.301793,5.483770,0.103308,0.718404,3.331620,8.155267,0.038282
0.020000,1.317543,5.484421,0.119073,0.788212,3.490380,7.938006,0.044251
0.020000,1.334749,5.485239,0.136297,0.861237,3.651296,8.045773,0.050804
0.020000,1.353470,5.486258,0.155046,0.937431,3.809667,7.918545,0.057971
0.020000,1.373767,5.487516,0.175382,1.016811,3.969030,7.968163,0.065785
0.020000,1.395701,5.489054,0.197370,1.099402,4.129547,8.025833,0.074279
0.020000,1.419331,5.490922,0.221073,1.185153,4.287528,7.899064,0.083485
0.020000,1.444713,5.493173,0.246555,1.274092,4.446971,7.972155,0.093435
0.020000,1.471904,5.495868,0.273880,1.366226,4.606679,7.985417,0.104161
0.020000,1.500958,5.499075,0.303110,1.461537,4.765538,7.942930,0.115695
0.020000,1.531928,5.502868,0.334312,1.560073,4.926830,8.064594,0.128068
0.020000,1.564832,5.507326,0.367516,1.660198,5.006232,3.970130,0.141292
0.020000,1.599652,5.512529,0.402722,1.760328,5.006495,0.013117,0.155369
0.020000,1.636370,5.518561,0.439933,1.860520,5.009617,0.156108,0.170293
0.020000,1.674933,5.525505,0.479116,1.959153,4.931639,-3.898895,0.186042
0.020000,1.715253,5.533440,0.520210,2.054704,4.777581,-7.702898,0.202575
0.020000,1.757244,5.542443,0.563154,2.147224,4.625962,-7.580936,0.219845
0.020000,1.800812,5.552591,0.607889,2.236724,4.474992,-7.548524,0.237799
0.020000,1.845867,5.563956,0.654355,2.323310,4.329321,-7.283524,0.256376
0.020000,1.892316,5.576609,0.702496,2.407065,4.187755,-7.078327,0.275510
0.020000,1.940064,5.590615,0.752256,2.487998,4.046659,-7.054777,0.295127
0.020000,1.989017,5.606035,0.803581,2.566224,3.911276,-6.769153,0.315147
0.020000,2.039080,5.622923,0.856416,2.641742,3.775917,-6.767972,0.335486
0.020000,2.090159,5.641325,0.910708,2.714631,3.644425,-6.574607,0.356054
0.020000,2.142159,5.661282,0.966407,2.784916,3.514250,-6.508738,0.376757
0.020000,2.194989,5.682823,1.023459,2.852622,3.385323,-6.446346,0.397500
0.020000,2.248557,5.705971,1.081814,2.917760,3.256889,-6.421682,0.418185
0.020000,2.302774,5.730738,1.141421,2.980313,3.127671,-6.460924,0.438717
0.020000,2.357555,5.757127,1.202226,3.040284,2.998551,-6.456013,0.459001
0.020000,2.412817,5.785131,1.264179,3.097635,2.867524,-6.551340,0.478944
0.020000,2.468481,5.814734,1.327225,3.152322,2.734371,-6.657640,0.498459
0.020000,2.524473,5.845909,1.391311,3.204301,2.598957,-6.770711,0.517465
0.020000,2.580723,5.878621,1.456382,3.253508,2.460335,-6.931073,0.535885
0.020000,2.637165,5.912827,1.522379,3.299880,2.318580,-7.087758,0.553651
0.020000,2.693738,5.948474,1.589246,3.343346,2.173341,-7.261950,0.570701
0.020000,2.750387,5.985501,1.656923,3.383837,2.024545,-7.439802,0.586980
0.020000,2.807061,6.023842,1.725348,3.421278,1.872028,-7.625850,0.602442
0.020000,2.863716,6.063425,1.794460,3.455606,1.716397,-7.781559,0.617048
0.020000,2.920309,6.104169,1.864195,3.486744,1.556927,-7.973498,0.630764
0.020000,2.976806,6.145993,1.934488,3.514639,1.394732,-8.109744,0.643567
0.020000,3.033174,6.188807,2.005273,3.539229,1.229511,-8.261038,0.655435
0.020000,3.089386,6.232522,2.076482,3.560459,1.061487,-8.401205,0.666355
0.020000,3.145417,6.277043,2.148048,3.578281,0.891088,-8.519933,0.676318
0.020000,3.201248,6.322274,2.219901,3.592655,0.718733,-8.617751,0.685319
0.020000,3.256832,6.368096,2.291937,3.601831,0.458754,-12.998980,0.693355
0.020000,3.312129,6.414386,2.364052,3.605757,0.196306,-13.122399,0.700426
0.020000,3.367126,6.461045,2.436174,3.606104,0.017363,-8.947132,0.706542
0.020000,3.421808,6.507971,2.508232,3.602857,-0.162356,-8.985970,0.711713
0.020000,3.476166,6.555063,2.580151,3.595986,-0.343554,-9.059892,0.715954
0.020000,3.530186,6.602223,2.651861,3.585473,-0.525622,-9.103386,0.719280
0.020000,3.583858,6.649350,2.723287,3.571301,-0.708614,-9.149625,0.721708
0.020000,3.637168,6.696349,2.794356,3.553453,-0.892392,-9.188891,0.723259
0.020000,3.690103,6.743121,2.864994,3.531912,-1.077047,-9.232746,0.723953
0.020000,3.742646,6.789574,2.935127,3.506663,-1.262464,-9.270841,0.723814
0.020000,3.794781,6.835615,3.004681,3.477689,-1.448682,-9.310930,0.722865
0.020000,3.846486,6.881153,3.073581,3.444974,-1.635774,-9.354562,0.721133
0.020000,3.897739,6.926101,3.141751,3.408501,-1.823629,-9.392773,0.718646
0.020000,3.948512,6.970373,3.209116,3.368250,-2.012573,-9.447197,0.715435
0.020000,3.998778,7.013888,3.275600,3.324203,-2.202343,-9.488514,0.711530
0.020000,4.048500,7.056566,3.341126,3.276339,-2.393184,-9.542027,0.706968
0.020000,4.097642,7.098332,3.405619,3.224634,-2.585241,-9.602862,0.701783
0.020000,4.146162,7.139113,3.469001,3.169070,-2.778225,-9.649183,0.696016
0.020000,4.194012,7.178840,3.531193,3.109617,-2.972638,-9.720660,0.689707
0.020000,4.241141,7.217450,3.592118,3.046255,-3.168126,-9.774414,0.682901
0.020000,4.287493,7.254881,3.651697,2.978955,-3.364960,-9.841668,0.675645
0.020000,4.333008,7.291079,3.709851,2.907698,-3.562876,-9.895813,0.667988
0.020000,4.377620,7.325991,3.766500,2.832456,-3.762079,-9.960145,0.659982
0.020000,4.421259,7.359573,3.821564,2.753208,-3.962437,-10.017921,0.651681
0.020000,4.463851,7.391780,3.874963,2.669926,-4.164081,-10.082191,0.643142
0.020000,4.505317,7.422578,3.926615,2.582597,-4.366456,-10.118754,0.634424
0.020000,4.545575,7.451933,3.976439,2.491200,-4.569818,-10.168084,0.625587
0.020000,4.584539,7.479818,4.024353,2.395724,-4.773811,-10.199670,0.616693
0.020000,4.622120,7.506212,4.070276,2.296155,-4.978441,-10.231491,0.607806
0.020000,4.658226,7.531095,4.114126,2.192486,-5.183460,-10.250928,0.598990
0.020000,4.692762,7.554454,4.155820,2.084714,-5.388618,-10.257924,0.590309
0.020000,4.725665,7.576298,4.195314,1.974664,-5.502501,-5.694164,0.581819
0.020000,4.756898,7.596659,4.232597,1.864166,-5.524905,-1.120190,0.573567
0.020000,4.786426,7.615569,4.267662,1.753252,-5.545706,-1.040021,0.565598
