dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.198830,5.291810,0.000035,0.003491,0.174570,8.728482,6.281374
0.020000,1.198830,5.291810,0.000175,0.010474,0.349139,8.728482,6.281421
0.020000,1.198830,5.291810,0.000489,0.020948,0.523709,8.728482,6.281529
0.020000,1.198830,5.291810,0.001047,0.034914,0.698279,8.728482,6.281719
0.020000,1.198830,5.291810,0.001920,0.052371,0.872848,8.728482,6.282018
0.020000,1.198830,5.291810,0.003177,0.073319,1.047418,8.728482,6.282447
0.020000,1.198830,5.291810,0.004888,0.097759,1.221987,8.728482,6.283031
0.020000,1.200614,5.291811,0.007122,0.125690,1.396557,8.728482,0.000610
0.020000,1.203442,5.291814,0.009950,0.157113,1.571127,8.728482,0.001577
0.020000,1.206934,5.291821,0.013442,0.192027,1.745696,8.728482,0.002772
0.020000,1.211158,5.291836,0.017666,0.230432,1.920266,8.728482,0.004220
0.020000,1.216186,5.291862,0.022694,0.272329,2.094836,8.728482,0.005946
0.020000,1.222086,5.291903,0.028595,0.317717,2.269405,8.728482,0.007974
0.020000,1.228929,5.291965,0.035438,0.366596,2.443975,8.728482,0.010331
0.020000,1.236784,5.292057,0.043293,0.418967,2.618545,8.728482,0.013042
0.020000,1.245721,5.292188,0.052231,0.474829,2.793114,8.728482,0.016135
0.020000,1.255809,5.292368,0.062321,0.534183,2.967684,8.728482,0.019636
0.020000,1.267118,5.292612,0.073633,0.597028,3.142253,8.728482,0.023572
0.020000,1.279718,5.292937,0.086237,0.663365,3.316823,8.728482,0.027973
0.020000,1.293677,5.293362,0.100203,0.733192,3.491393,8.728482,0.032866
0.020000,1.309065,5.293909,0.115600,0.806512,3.665962,8.728482,0.038282
0.020000,1.325948,5.294607,0.132498,0.883322,3.840532,8.728482,0.044251
0.020000,1.344397,5.295484,0.150968,0.963624,4.015102,8.728482,0.050804
0.020000,1.364478,5.296577,0.171078,1.047418,4.189671,8.728482,0.057971
0.020000,1.386257,5.297926,0.192899,1.134703,4.364241,8.728482,0.065785
0.020000,1.409801,5.299578,0.216501,1.225479,4.538811,8.728482,0.074279
0.020000,1.435174,5.301583,0.241954,1.319746,4.713380,8.728482,0.083485
0.020000,1.462440,5.304002,0.269326,1.417505,4.887950,8.728482,0.093435
0.020000,1.491659,5.306898,0.298689,1.518756,5.062519,8.728482,0.104161
0.020000,1.522891,5.310345,0.330111,1.623498,5.237089,8.728482,0.115695
0.020000,1.556195,5.314424,0.363663,1.731731,5.411659,8.728482,0.128068
0.020000,1.591588,5.319220,0.399380,1.839964,5.411659,0.000000,0.141292
0.020000,1.629053,5.324818,0.437262,1.948197,5.411659,0.000000,0.155369
0.020000,1.668569,5.331310,0.477308,2.056430,5.411659,0.000000,0.170293
0.020000,1.710077,5.338784,0.519484,2.161172,5.237089,-8.728482,0.186042
0.020000,1.753480,5.347325,0.563720,2.262423,5.062519,-8.728482,0.202575
0.020000,1.798679,5.357016,0.609946,2.360181,4.887950,-8.728482,0.219845
0.020000,1.845569,5.367937,0.658093,2.454449,4.713380,-8.728482,0.237799
0.020000,1.894046,5.380166,0.708089,2.545225,4.538811,-8.728482,0.256376
0.020000,1.944003,5.393774,0.759867,2.632510,4.364241,-8.728482,0.275510
0.020000,1.995327,5.408830,0.813355,2.716304,4.189671,-8.728482,0.295127
0.020000,2.047909,5.425392,0.868484,2.796606,4.015102,-8.728482,0.315147
0.020000,2.101633,5.443515,0.925184,2.873416,3.840532,-8.728482,0.335486
0.020000,2.156389,5.463242,0.983386,2.946735,3.665962,-8.728482,0.356054
0.020000,2.212062,5.484608,1.043019,3.016563,3.491393,-8.728482,0.376757
0.020000,2.268541,5.507637,1.104013,3.082900,3.316823,-8.728482,0.397500
0.020000,2.325716,5.532344,1.166300,3.145745,3.142253,-8.728482,0.418185
0.020000,2.383482,5.558731,1.229808,3.205099,2.967684,-8.728482,0.438717
0.020000,2.441735,5.586793,1.294469,3.260961,2.793114,-8.728482,0.459001
0.020000,2.500377,5.616509,1.360212,3.313332,2.618545,-8.728482,0.478944
0.020000,2.559315,5.647853,1.426967,3.362211,2.443975,-8.728482,0.498459
0.020000,2.618462,5.680785,1.494665,3.407599,2.269405,-8.728482,0.517465
0.020000,2.677738,5.715256,1.563236,3.449496,2.094836,-8.728482,0.535885
0.020000,2.737066,5.751211,1.632610,3.487901,1.920266,-8.728482,0.553651
0.020000,2.796380,5.788584,1.702717,3.522815,1.745696,-8.728482,0.570701
0.020000,2.855618,5.827304,1.773488,3.554238,1.571127,-8.728482,0.586980
0.020000,2.914726,5.867291,1.844852,3.582169,1.396557,-8.728482,0.602442
0.020000,2.973655,5.908463,1.916740,3.606609,1.221987,-8.728482,0.617048
