dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.198486,5.101810,0.000035,0.003491,0.174570,8.728482,6.281374
0.020000,1.198495,5.101810,0.000044,0.000453,-0.151918,-16.324366,6.281421
0.020000,1.198515,5.101810,0.000064,0.001019,0.028316,9.011694,6.281529
0.020000,1.198551,5.101810,0.000101,0.001812,0.039646,0.566500,6.281719
0.020000,1.198608,5.101810,0.000157,0.002832,0.050982,0.566768,6.282018
0.020000,1.198689,5.101810,0.000239,0.004078,0.062326,0.567206,6.282447
0.020000,1.198800,5.101810,0.000350,0.005552,0.073683,0.567851,6.283031
0.020000,1.200730,5.101811,0.002279,0.096475,4.546132,223.622452,0.000610
0.020000,1.203741,5.101814,0.005291,0.150574,2.704944,-92.059402,0.001577
0.020000,1.207460,5.101822,0.009010,0.185944,1.768512,-46.821562,0.002772
0.020000,1.211960,5.101838,0.013509,0.224979,1.951741,9.161443,0.004220
0.020000,1.217315,5.101865,0.018865,0.267769,2.139505,9.388169,0.005946
0.020000,1.223601,5.101909,0.025151,0.314298,2.326475,9.348502,0.007974
0.020000,1.230892,5.101976,0.032442,0.364546,2.512377,9.295112,0.010331
0.020000,1.239262,5.102073,0.040812,0.418524,2.698923,9.327317,0.013042
0.020000,1.248786,5.102212,0.050338,0.476281,2.887851,9.446366,0.016135
0.020000,1.259540,5.102405,0.061093,0.537770,3.074437,9.329325,0.019636
0.020000,1.271597,5.102665,0.073153,0.602989,3.260962,9.326243,0.023572
0.020000,1.285033,5.103011,0.086593,0.672014,3.451252,9.514520,0.027973
0.020000,1.299921,5.103464,0.101488,0.744746,3.636608,9.267789,0.032866
0.020000,1.316336,5.104049,0.117914,0.821310,3.828159,9.577554,0.038282
0.020000,1.334353,5.104793,0.135947,0.901618,4.015421,9.363083,0.044251
0.020000,1.354046,5.105729,0.155661,0.985734,4.205801,9.519007,0.050804
0.020000,1.375486,5.106896,0.177134,1.073612,4.393873,9.403610,0.057971
0.020000,1.398747,5.108337,0.200439,1.165283,4.583597,9.486185,0.065785
0.020000,1.423901,5.110102,0.225655,1.260784,4.775029,9.571622,0.074279
0.020000,1.451018,5.112245,0.252856,1.360059,4.963754,9.436238,0.083485
0.020000,1.480166,5.114830,0.282119,1.463141,5.154100,9.517275,0.093435
0.020000,1.511414,5.117927,0.313519,1.570028,5.344363,9.513164,0.104161
0.020000,1.544825,5.121615,0.347133,1.680685,5.532835,9.423621,0.115695
0.020000,1.580461,5.125980,0.383036,1.795140,5.722757,9.496082,0.128068
0.020000,1.618344,5.131113,0.421265,1.911468,5.816367,4.680481,0.141292
0.020000,1.658455,5.137106,0.461821,2.027784,5.815816,-0.027541,0.155369
0.020000,1.700769,5.144058,0.504703,2.144076,5.814619,-0.059845,0.170293
0.020000,1.745222,5.152063,0.549870,2.258380,5.715179,-4.971985,0.186042
0.020000,1.791707,5.161211,0.597247,2.368828,5.522420,-9.637954,0.202575
0.020000,1.840113,5.171589,0.646754,2.475353,5.326255,-9.808258,0.219845
0.020000,1.890326,5.183284,0.698310,2.577838,5.124232,-10.101136,0.237799
0.020000,1.942226,5.196376,0.751836,2.676268,4.921488,-10.137223,0.256376
0.020000,1.995690,5.210940,0.807248,2.770600,4.716601,-10.244354,0.275510
0.020000,2.050591,5.227044,0.864462,2.860711,4.505564,-10.551854,0.295127
0.020000,2.106800,5.244750,0.923394,2.946607,4.294813,-10.537518,0.315147
0.020000,2.164187,5.264108,0.983958,3.028176,4.078449,-10.818192,0.335486
0.020000,2.222619,5.285159,1.046066,3.105411,3.861757,-10.834597,0.356054
0.020000,2.281964,5.307934,1.109631,3.178269,3.642882,-10.943795,0.376757
0.020000,2.342092,5.332451,1.174566,3.246729,3.422984,-10.994860,0.397500
0.020000,2.402876,5.358716,1.240782,3.310780,3.202564,-11.021032,0.418185
0.020000,2.464190,5.386725,1.308190,3.370412,2.981591,-11.048614,0.438717
0.020000,2.525915,5.416458,1.376703,3.425662,2.762486,-10.955253,0.459001
0.020000,2.587937,5.447888,1.446234,3.476548,2.544333,-10.907690,0.478944
0.020000,2.650149,5.480972,1.516696,3.523111,2.328124,-10.810432,0.498459
0.020000,2.712451,5.515660,1.588004,3.565406,2.114775,-10.667441,0.517465
0.020000,2.774752,5.551891,1.660074,3.603488,1.904097,-10.533915,0.535885
0.020000,2.836967,5.589595,1.732823,3.637425,1.696820,-10.363830,0.553651
0.020000,2.899022,5.628695,1.806168,3.667284,1.492979,-10.192077,0.570701
0.020000,2.960849,5.669106,1.880031,3.693138,1.292697,-10.014077,0.586980
0.020000,3.022391,5.710740,1.954332,3.715054,1.095805,-9.844604,0.602442
0.020000,3.083595,5.753501,2.028994,3.733110,0.902798,-9.650372,0.617048
0.020000,3.144419,5.797290,2.103942,3.747362,0.712586,-9.510578,0.630764
