dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.226720,7.449216,0.000035,0.003481,0.174029,8.701444,3.739667
0.020000,5.226713,7.449211,0.000043,0.000414,-0.153346,-16.368755,3.739623
0.020000,5.226697,7.449201,0.000062,0.000931,0.025855,8.960068,3.739525
0.020000,5.226670,7.449182,0.000095,0.001655,0.036202,0.517354,3.739351
0.020000,5.226627,7.449153,0.000147,0.002586,0.046557,0.517739,3.739079
0.020000,5.226566,7.449111,0.000221,0.003724,0.056924,0.518368,3.738687
0.020000,5.226482,7.449054,0.000322,0.005071,0.067310,0.519300,3.738153
0.020000,5.225483,7.448377,0.001529,0.060321,2.762499,134.759448,3.737456
0.020000,5.223010,7.446702,0.004516,0.149373,4.452609,84.505485,3.736572
0.020000,5.219955,7.444636,0.008204,0.184392,1.750936,-135.083674,3.735480
0.020000,5.216255,7.442141,0.012667,0.223124,1.936648,9.285598,3.734157
0.020000,5.211846,7.439178,0.017979,0.265610,2.124295,9.382359,3.732579
0.020000,5.206665,7.435709,0.024213,0.311734,2.306203,9.095404,3.730724
0.020000,5.200649,7.431698,0.031445,0.361567,2.491651,9.272406,3.728568
0.020000,5.193730,7.427108,0.039748,0.415157,2.679457,9.390325,3.726085
0.020000,5.185842,7.421905,0.049197,0.472443,2.864303,9.242305,3.723252
0.020000,5.176918,7.416058,0.059866,0.533436,3.049675,9.268587,3.720042
0.020000,5.166890,7.409535,0.071829,0.598161,3.236250,9.328723,3.716430
0.020000,5.155685,7.402309,0.085162,0.666650,3.424455,9.410267,3.712388
0.020000,5.143233,7.394353,0.099939,0.738855,3.610218,9.288127,3.707888
0.020000,5.129458,7.385644,0.116236,0.814841,3.799304,9.454329,3.702902
0.020000,5.114286,7.376162,0.134127,0.894564,3.986173,9.343433,3.697399
0.020000,5.097637,7.365891,0.153689,0.978103,4.176954,9.539060,3.691348
0.020000,5.079432,7.354818,0.174997,1.065383,4.363975,9.351070,3.684718
0.020000,5.059588,7.342936,0.198127,1.156499,4.555815,9.591975,3.677475
0.020000,5.038018,7.330242,0.223154,1.251387,4.744383,9.428428,3.669585
0.020000,5.014636,7.316738,0.250156,1.350067,4.934017,9.481677,3.661012
0.020000,4.989348,7.302434,0.279209,1.452676,5.130465,9.822410,3.651721
0.020000,4.962061,7.287346,0.310389,1.559008,5.316589,9.306175,3.641674
0.020000,4.932678,7.271496,0.343775,1.669254,5.512289,9.785012,3.630833
0.020000,4.901099,7.254919,0.379440,1.783282,5.701396,9.455342,3.619162
0.020000,4.867221,7.237654,0.417464,1.901172,5.894515,9.655949,3.606622
0.020000,4.830939,7.219754,0.457922,2.022901,6.086425,9.595490,3.593176
0.020000,4.792178,7.201297,0.500853,2.146563,6.183143,4.835916,3.578801
0.020000,4.750930,7.182402,0.546222,2.268480,6.095803,-4.366981,3.563502
0.020000,4.707226,7.163208,0.593956,2.386670,5.909528,-9.313765,3.547300
0.020000,4.661097,7.143858,0.643979,2.501147,5.723867,-9.283050,3.530224
0.020000,4.612580,7.124498,0.696215,2.611816,5.533453,-9.520699,3.512305
0.020000,4.561720,7.105275,0.750587,2.718599,5.339116,-9.716827,3.493585
0.020000,4.508563,7.086337,0.807017,2.821497,5.144920,-9.709834,3.474111
0.020000,4.453165,7.067829,0.865424,2.920363,4.943304,-10.080787,3.453939
0.020000,4.395591,7.049897,0.925726,3.015109,4.737268,-10.301800,3.433134
0.020000,4.335910,7.032680,0.987841,3.105731,4.531120,-10.307415,3.411768
0.020000,4.274202,7.016315,1.051683,3.192078,4.317339,-10.689059,3.389920
0.020000,4.210553,7.000928,1.117165,3.274125,4.102345,-10.749685,3.367680
0.020000,4.145058,6.986639,1.184201,3.351779,3.882723,-10.981074,3.345141
0.020000,4.077818,6.973558,1.252702,3.425040,3.663048,-10.983770,3.322403
0.020000,4.008941,6.961780,1.322578,3.493802,3.438096,-11.247621,3.299569
0.020000,3.938542,6.951390,1.393739,3.558084,3.214074,-11.201098,3.276747
0.020000,3.866738,6.942458,1.466097,3.617876,2.989611,-11.223137,3.254043
0.020000,3.793650,6.935039,1.539560,3.673174,2.764925,-11.234304,3.231563
0.020000,3.719401,6.929173,1.614041,3.724020,2.542292,-11.131664,3.209410
0.020000,3.644114,6.924885,1.689450,3.770445,2.321235,-11.052847,3.187683
0.020000,3.567912,6.922185,1.765700,3.812503,2.102923,-10.915590,3.166475
0.020000,3.490915,6.921068,1.842705,3.850267,1.888186,-10.736843,3.145871
0.020000,3.413240,6.921515,1.920381,3.883807,1.677021,-10.558261,3.125952
0.020000,3.335001,6.923495,1.998645,3.913206,1.469931,-10.354508,3.106784
0.020000,3.256307,6.926965,2.077416,3.938545,1.266960,-10.148550,3.088431
0.020000,3.177260,6.931871,2.156614,3.959910,1.068224,-9.936766,3.070944
0.020000,3.097961,6.938150,2.236162,3.977383,0.873661,-9.728162,3.054365
0.020000,3.018501,6.945732,2.315983,3.991044,0.683077,-9.529221,3.038731
0.020000,2.938968,6.954538,2.396002,4.000961,0.495821,-9.362755,3.024068
0.020000,2.859443,6.964486,2.476146,4.007210,0.312446,-9.168784,3.010397
0.020000,2.780005,6.975488,2.556343,4.009851,0.132051,-9.019746,2.997730
0.020000,2.700724,6.987451,2.636522,4.008928,-0.046138,-8.909450,2.986077
0.020000,2.621673,7.000283,2.716608,4.004289,-0.231969,-9.291524,2.975440
0.020000,2.542955,7.013880,2.796491,3.994178,-0.505551,-13.679125,2.965822
0.020000,2.464665,7.028139,2.876069,3.978883,-0.764714,-12.958152,2.957220
0.020000,2.386860,7.042961,2.955273,3.960218,-0.933264,-8.427480,2.949622
0.020000,2.309594,7.058250,3.034037,3.938201,-1.100828,-8.378190,2.943014
0.020000,2.232920,7.073911,3.112294,3.912861,-1.267027,-8.309984,2.937380
0.020000,2.156888,7.089848,3.189979,3.884214,-1.432367,-8.267001,2.932701
0.020000,2.081548,7.105972,3.267024,3.852273,-1.597015,-8.232406,2.928958
0.020000,2.006951,7.122194,3.343365,3.817054,-1.760967,-8.197563,2.926129
0.020000,1.933144,7.138428,3.418937,3.778566,-1.924385,-8.170899,2.924193
0.020000,1.860176,7.154592,3.493673,3.736826,-2.087017,-8.131600,2.923124
0.020000,1.788097,7.170608,3.567510,3.691842,-2.249216,-8.109952,2.922899
0.020000,1.716957,7.186402,3.640382,3.643626,-2.410789,-8.078672,2.923490
0.020000,1.646805,7.201904,3.712226,3.592192,-2.571707,-8.045882,2.924871
0.020000,1.577694,7.217048,3.782977,3.537553,-2.731934,-8.011347,2.927011
0.020000,1.509675,7.231774,3.852572,3.479725,-2.891418,-7.974214,2.929882
0.020000,1.442803,7.246026,3.920946,3.418720,-3.050251,-7.941669,2.933450
0.020000,1.377131,7.259755,3.988037,3.354561,-3.207907,-7.882780,2.937681
0.020000,1.312717,7.272916,4.053783,3.287263,-3.364932,-7.851275,2.942539
0.020000,1.249617,7.285470,4.118120,3.216847,-3.520781,-7.792402,2.947986
0.020000,1.187889,7.297384,4.180986,3.143335,-3.675632,-7.742570,2.953981
0.020000,1.127594,7.308631,4.242321,3.066752,-3.829138,-7.675303,2.960482
0.020000,1.068793,7.319191,4.302064,2.987115,-3.981830,-7.634621,2.967444
0.020000,1.011546,7.329048,4.360153,2.904450,-4.133269,-7.571928,2.974818
0.020000,0.955917,7.338194,4.416528,2.818787,-4.283157,-7.494381,2.982555
0.020000,0.901969,7.346627,4.471131,2.730135,-4.432582,-7.471279,2.990602
0.020000,0.849767,7.354350,4.523902,2.638525,-4.580523,-7.397056,2.998904
0.020000,0.799375,7.361373,4.574781,2.543977,-4.727358,-7.341717,3.007404
0.020000,0.750857,7.367712,4.623711,2.446506,-4.873597,-7.311945,3.016044
0.020000,0.704279,7.373386,4.670634,2.346128,-5.018866,-7.263495,3.024764
0.020000,0.659705,7.378421,4.715491,2.242858,-5.163523,-7.232851,3.033500
0.020000,0.617201,7.382848,4.758225,2.136701,-5.307812,-7.214445,3.042191
0.020000,0.576831,7.386701,4.798778,2.027666,-5.451769,-7.197859,3.050774
0.020000,0.538655,7.390016,4.837098,1.915961,-5.585254,-6.674218,3.059186
0.020000,0.502697,7.392839,4.873167,1.803452,-5.625438,-2.009205,3.067372
0.020000,0.468916,7.395217,4.907032,1.693250,-5.510105,5.766659,3.075297
0.020000,0.437242,7.397199,4.938767,1.586777,-5.323653,9.322579,3.082934
0.020000,0.407607,7.398831,4.968447,1.483999,-5.138888,9.238259,3.090260
0.020000,0.379941,7.400155,4.996145,1.384872,-4.956345,9.127156,3.097258
0.020000,0.354176,7.401213,5.021932,1.289367,-4.775275,9.053516,3.103913
0.020000,0.330241,7.402040,5.045881,1.197443,-4.596173,8.955058,3.110213
0.020000,0.308068,7.402670,5.068062,1.109074,-4.418477,8.884810,3.116152
0.020000,0.287589,7.403134,5.088547,1.024231,-4.242141,8.816790,3.121725
0.020000,0.268734,7.403460,5.107405,0.942883,-4.067402,8.736957,3.126929
0.020000,0.251435,7.403672,5.124705,0.865008,-3.893771,8.681583,3.131766
0.020000,0.235624,7.403792,5.140516,0.790583,-3.721246,8.626215,3.136238
0.020000,0.221233,7.403840,5.154908,0.719585,-3.549880,8.568300,3.140353
0.020000,0.208193,7.403831,5.167948,0.651997,-3.379383,8.524879,3.144116
0.020000,0.196437,7.403781,5.179704,0.587802,-3.209753,8.481495,3.147538
0.020000,0.185897,7.403703,5.190244,0.526985,-3.040884,8.443431,3.150628
0.020000,0.176507,7.403605,5.199634,0.469531,-2.872708,8.408820,3.153400
0.020000,0.168199,7.403496,5.207943,0.415428,-2.705132,8.378813,3.155867
0.020000,0.160907,7.403384,5.215236,0.364667,-2.538049,8.354142,3.158044
0.020000,0.154563,7.403274,5.221581,0.317237,-2.371523,8.326287,3.159945
0.020000,0.149101,7.403169,5.227044,0.273131,-2.205285,8.311891,3.161589
0.020000,0.144456,7.403073,5.231690,0.232341,-2.039469,8.290827,3.162992
0.020000,0.140559,7.402987,5.235588,0.194863,-1.873924,8.277252,3.164172
0.020000,0.137346,7.402913,5.238802,0.160691,-1.708600,8.266189,3.165147
0.020000,0.134751,7.402851,5.241398,0.129819,-1.543593,8.250341,3.165936
0.020000,0.132706,7.402801,5.243443,0.102248,-1.378555,8.251906,3.166558
0.020000,0.131147,7.402761,5.245002,0.077970,-1.213886,8.233433,3.167033
0.020000,0.130008,7.402732,5.246142,0.056988,-1.049096,8.239492,3.167381
0.020000,0.129222,7.402712,5.246928,0.039298,-0.884507,8.229483,3.167621
0.020000,0.128725,7.402699,5.247426,0.024899,-0.719961,8.227283,3.167773
0.020000,0.128449,7.402692,5.247702,0.013790,-0.555444,8.225830,3.167857
0.020000,0.128329,7.402688,5.247821,0.005971,-0.390945,8.224961,3.167894
0.020000,0.128301,7.402688,5.247850,0.001442,-0.226455,8.224519,3.167902
0.020000,0.128301,7.402688,5.247850,0.000000,-0.072106,7.717467,3.167902
