dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.119740,7.606236,0.000035,0.003481,0.174029,8.701444,3.739667
0.020000,5.119740,7.606236,0.000174,0.010442,0.348058,8.701444,3.739623
0.020000,5.119740,7.606236,0.000487,0.020883,0.522087,8.701444,3.739525
0.020000,5.119740,7.606236,0.001044,0.034806,0.696116,8.701444,3.739351
0.020000,5.119740,7.606236,0.001914,0.052209,0.870144,8.701444,3.739079
0.020000,5.119740,7.606236,0.003167,0.073092,1.044173,8.701444,3.738687
0.020000,5.119740,7.606236,0.004873,0.097456,1.218202,8.701444,3.738153
0.020000,5.118851,7.605633,0.007100,0.125301,1.392231,8.701444,3.737456
0.020000,5.116517,7.604052,0.009920,0.156626,1.566260,8.701444,3.736572
0.020000,5.113633,7.602103,0.013400,0.191432,1.740289,8.701444,3.735480
0.020000,5.110142,7.599749,0.017612,0.229718,1.914318,8.701444,3.734157
0.020000,5.105982,7.596953,0.022624,0.271485,2.088347,8.701444,3.732579
0.020000,5.101094,7.593680,0.028506,0.316733,2.262375,8.701444,3.730724
0.020000,5.095418,7.589895,0.035328,0.365461,2.436404,8.701444,3.728568
0.020000,5.088892,7.585566,0.043159,0.417669,2.610433,8.701444,3.726085
0.020000,5.081454,7.580660,0.052069,0.473359,2.784462,8.701444,3.723252
0.020000,5.073040,7.575147,0.062128,0.532528,2.958491,8.701444,3.720042
0.020000,5.063587,7.568999,0.073405,0.595179,3.132520,8.701444,3.716430
0.020000,5.053028,7.562188,0.085970,0.661310,3.306549,8.701444,3.712388
0.020000,5.041296,7.554693,0.099893,0.730921,3.480578,8.701444,3.707888
0.020000,5.028322,7.546490,0.115242,0.804013,3.654607,8.701444,3.702902
0.020000,5.014036,7.537562,0.132088,0.880586,3.828635,8.701444,3.697399
0.020000,4.998366,7.527894,0.150500,0.960639,4.002664,8.701444,3.691348
0.020000,4.981238,7.517477,0.170548,1.044173,4.176693,8.701444,3.684718
0.020000,4.962574,7.506301,0.192302,1.131188,4.350722,8.701444,3.677475
0.020000,4.942296,7.494367,0.215831,1.221683,4.524751,8.701444,3.669585
0.020000,4.920324,7.481679,0.241204,1.315658,4.698780,8.701444,3.661012
0.020000,4.896573,7.468244,0.268492,1.413115,4.872809,8.701444,3.651721
0.020000,4.870957,7.454079,0.297763,1.514051,5.046838,8.701444,3.641674
0.020000,4.843387,7.439208,0.329089,1.618469,5.220867,8.701444,3.630833
0.020000,4.813771,7.423661,0.362537,1.726367,5.394895,8.701444,3.619162
0.020000,4.782016,7.407478,0.398178,1.837745,5.568924,8.701444,3.606622
0.020000,4.748025,7.390708,0.436082,1.952604,5.742953,8.701444,3.593176
0.020000,4.711729,7.373425,0.476282,2.067463,5.742953,0.000000,3.578801
0.020000,4.673124,7.355741,0.518745,2.178842,5.568924,-8.701444,3.563502
0.020000,4.632238,7.337784,0.563401,2.286740,5.394895,-8.701444,3.547300
0.020000,4.589101,7.319690,0.610180,2.391157,5.220867,-8.701444,3.530224
0.020000,4.543747,7.301592,0.659013,2.492094,5.046838,-8.701444,3.512305
0.020000,4.496214,7.283626,0.709829,2.589550,4.872809,-8.701444,3.493585
0.020000,4.446542,7.265929,0.762560,2.683525,4.698780,-8.701444,3.474111
0.020000,4.394780,7.248636,0.817135,2.774020,4.524751,-8.701444,3.453939
0.020000,4.340980,7.231879,0.873486,2.861035,4.350722,-8.701444,3.433134
0.020000,4.285199,7.215788,0.931542,2.944569,4.176693,-8.701444,3.411768
0.020000,4.227503,7.200486,0.991234,3.024622,4.002664,-8.701444,3.389920
0.020000,4.167961,7.186093,1.052492,3.101195,3.828635,-8.701444,3.367680
0.020000,4.106650,7.172717,1.115247,3.174287,3.654607,-8.701444,3.345141
0.020000,4.043651,7.160460,1.179429,3.243898,3.480578,-8.701444,3.322403
0.020000,3.979051,7.149414,1.244968,3.310029,3.306549,-8.701444,3.299569
0.020000,3.912941,7.139657,1.311795,3.372680,3.132520,-8.701444,3.276747
0.020000,3.845418,7.131258,1.379840,3.431850,2.958491,-8.701444,3.254043
0.020000,3.776579,7.124271,1.449034,3.487539,2.784462,-8.701444,3.231563
0.020000,3.706526,7.118737,1.519307,3.539748,2.610433,-8.701444,3.209410
0.020000,3.635360,7.114684,1.590589,3.588476,2.436404,-8.701444,3.187683
0.020000,3.563185,7.112126,1.662811,3.633723,2.262375,-8.701444,3.166475
0.020000,3.490102,7.111066,1.735903,3.675490,2.088347,-8.701444,3.145871
0.020000,3.416212,7.111492,1.809796,3.713776,1.914318,-8.701444,3.125952
0.020000,3.341613,7.113380,1.884420,3.748582,1.740289,-8.701444,3.106784
0.020000,3.266402,7.116696,1.959704,3.779907,1.566260,-8.701444,3.088431
0.020000,3.190673,7.121397,2.035581,3.807752,1.392231,-8.701444,3.070944
0.020000,3.114513,7.127428,2.111980,3.832116,1.218202,-8.701444,3.054365
0.020000,3.038010,7.134728,2.188831,3.852999,1.044173,-8.701444,3.038731
0.020000,2.961246,7.143228,2.266065,3.870402,0.870144,-8.701444,3.024068
0.020000,2.884299,7.152853,2.343612,3.884325,0.696116,-8.701444,3.010397
0.020000,2.807244,7.163525,2.421403,3.894766,0.522087,-8.701444,2.997730
0.020000,2.730153,7.175158,2.499368,3.901728,0.348058,-8.701444,2.986077
0.020000,2.653096,7.187666,2.577433,3.904779,0.152577,-9.774030,2.975440
0.020000,2.576179,7.200953,2.655490,3.900870,-0.195481,-17.402888,2.965822
0.020000,2.499498,7.214919,2.733433,3.893479,-0.369509,-8.701444,2.957220
0.020000,2.423111,7.229471,2.811194,3.882609,-0.543538,-8.701444,2.949622
0.020000,2.347076,7.244516,2.888703,3.868257,-0.717567,-8.701444,2.943014
0.020000,2.271451,7.259963,2.965889,3.850425,-0.891596,-8.701444,2.937380
0.020000,2.196289,7.275718,3.042685,3.829113,-1.065625,-8.701444,2.932701
0.020000,2.121645,7.291693,3.119019,3.804320,-1.239654,-8.701444,2.928958
0.020000,2.047573,7.307801,3.194823,3.776046,-1.413683,-8.701444,2.926129
0.020000,1.974125,7.323956,3.270026,3.744292,-1.587712,-8.701444,2.924193
0.020000,1.901356,7.340076,3.344560,3.709057,-1.761741,-8.701444,2.923124
0.020000,1.829319,7.356083,3.418354,3.670342,-1.935769,-8.701444,2.922899
0.020000,1.758069,7.371901,3.491339,3.628146,-2.109798,-8.701444,2.923490
0.020000,1.687661,7.387459,3.563445,3.582469,-2.283827,-8.701444,2.924871
0.020000,1.618152,7.402690,3.634602,3.533312,-2.457856,-8.701444,2.927011
0.020000,1.549601,7.417532,3.704742,3.480674,-2.631885,-8.701444,2.929882
0.020000,1.482065,7.431926,3.773795,3.424556,-2.805914,-8.701444,2.933450
0.020000,1.415607,7.445819,3.841690,3.364957,-2.979943,-8.701444,2.937681
0.020000,1.350288,7.459165,3.908358,3.301878,-3.153972,-8.701444,2.942539
0.020000,1.286173,7.471920,3.973730,3.235318,-3.328001,-8.701444,2.947986
0.020000,1.223327,7.484050,4.037736,3.165277,-3.502029,-8.701444,2.953981
0.020000,1.161817,7.495524,4.100306,3.091756,-3.676058,-8.701444,2.960482
0.020000,1.101714,7.506317,4.161371,3.014754,-3.850087,-8.701444,2.967444
0.020000,1.043086,7.516412,4.220862,2.934272,-4.024116,-8.701444,2.974818
0.020000,0.986007,7.525796,4.278708,2.850309,-4.198145,-8.701444,2.982555
0.020000,0.930549,7.534465,4.334839,2.762866,-4.372174,-8.701444,2.990602
0.020000,0.876786,7.542419,4.389187,2.671941,-4.546203,-8.701444,2.998904
0.020000,0.824794,7.549665,4.441682,2.577537,-4.720232,-8.701444,3.007404
0.020000,0.774648,7.556216,4.492254,2.479652,-4.894260,-8.701444,3.016044
0.020000,0.726426,7.562091,4.540833,2.378286,-5.068289,-8.701444,3.024764
0.020000,0.680203,7.567312,4.587351,2.273439,-5.242318,-8.701444,3.033500
0.020000,0.636056,7.571910,4.631736,2.165113,-5.416347,-8.701444,3.042191
0.020000,0.594063,7.575918,4.673920,2.053305,-5.590376,-8.701444,3.050774
0.020000,0.554295,7.579372,4.713838,1.938446,-5.742953,-7.628858,3.059186
0.020000,0.516786,7.582316,4.751462,1.824016,-5.721501,1.072586,3.067372
0.020000,0.481503,7.584799,4.786833,1.713066,-5.547473,8.701444,3.075297
0.020000,0.448381,7.586872,4.820020,1.605598,-5.373444,8.701444,3.082934
0.020000,0.417356,7.588580,4.851092,1.501609,-5.199415,8.701444,3.090260
0.020000,0.388362,7.589969,4.880119,1.401102,-5.025386,8.701444,3.097258
0.020000,0.361333,7.591078,4.907171,1.304074,-4.851357,8.701444,3.103913
0.020000,0.336202,7.591946,4.932317,1.210528,-4.677328,8.701444,3.110213
0.020000,0.312902,7.592609,4.955627,1.120462,-4.503299,8.701444,3.116152
0.020000,0.291364,7.593097,4.977170,1.033876,-4.329270,8.701444,3.121725
0.020000,0.271520,7.593440,4.997017,0.950772,-4.155241,8.701444,3.126929
0.020000,0.253302,7.593663,5.015236,0.871147,-3.981213,8.701444,3.131766
0.020000,0.236641,7.593789,5.031897,0.795004,-3.807184,8.701444,3.136238
0.020000,0.221468,7.593839,5.047071,0.722341,-3.633155,8.701444,3.140353
0.020000,0.207713,7.593831,5.060826,0.653158,-3.459126,8.701444,3.144116
0.020000,0.195307,7.593778,5.073232,0.587456,-3.285097,8.701444,3.147538
0.020000,0.184181,7.593695,5.084359,0.525235,-3.111068,8.701444,3.150628
0.020000,0.174264,7.593591,5.094276,0.466494,-2.937039,8.701444,3.153400
0.020000,0.165487,7.593477,5.103053,0.411234,-2.763010,8.701444,3.155867
0.020000,0.157781,7.593359,5.110760,0.359454,-2.588982,8.701444,3.158044
0.020000,0.151076,7.593242,5.117466,0.311155,-2.414953,8.701444,3.159945
0.020000,0.145302,7.593131,5.123241,0.266337,-2.240924,8.701444,3.161589
0.020000,0.140390,7.593030,5.128155,0.224999,-2.066895,8.701444,3.162992
0.020000,0.136270,7.592939,5.132276,0.187141,-1.892866,8.701444,3.164172
0.020000,0.132872,7.592860,5.135675,0.152765,-1.718837,8.701444,3.165147
0.020000,0.130126,7.592795,5.138421,0.121869,-1.544808,8.701444,3.165936
0.020000,0.127963,7.592741,5.140585,0.094453,-1.370779,8.701444,3.166558
0.020000,0.126314,7.592700,5.142234,0.070518,-1.196750,8.701444,3.167033
0.020000,0.125109,7.592669,5.143440,0.050063,-1.022722,8.701444,3.167381
0.020000,0.124278,7.592647,5.144272,0.033090,-0.848693,8.701444,3.167621
0.020000,0.123751,7.592634,5.144799,0.019596,-0.674664,8.701444,3.167773
0.020000,0.123459,7.592626,5.145090,0.009584,-0.500635,8.701444,3.167857
0.020000,0.123333,7.592623,5.145217,0.003052,-0.326606,8.701444,3.167894
0.020000,0.123302,7.592622,5.145247,0.000000,-0.152577,8.701444,3.167902
0.020000,0.123302,7.592622,5.145247,0.000000,0.000000,7.628858,3.167902
