dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.012760,7.763256,0.000035,0.003481,0.174029,8.701444,3.739667
0.020000,5.012767,7.763261,0.000043,0.000414,-0.153346,-16.368755,3.739623
0.020000,5.012782,7.763271,0.000062,0.000931,0.025855,8.960068,3.739525
0.020000,5.012809,7.763290,0.000095,0.001655,0.036202,0.517354,3.739351
0.020000,5.012852,7.763319,0.000147,0.002586,0.046557,0.517739,3.739079
0.020000,5.012914,7.763361,0.000221,0.003724,0.056924,0.518368,3.738687
0.020000,5.012998,7.763418,0.000322,0.005071,0.067310,0.519300,3.738153
0.020000,5.012219,7.762890,0.001264,0.047066,2.099788,101.623906,3.737456
0.020000,5.010023,7.761402,0.003915,0.132585,4.275943,108.807703,3.736572
0.020000,5.007312,7.759569,0.007188,0.163645,1.552985,-136.147895,3.735480
0.020000,5.004029,7.757356,0.011148,0.197985,1.717025,8.201995,3.734157
0.020000,5.000117,7.754727,0.015861,0.235635,1.882499,8.273711,3.732579
0.020000,4.995523,7.751650,0.021390,0.276486,2.042545,8.002316,3.730724
0.020000,4.990188,7.748093,0.027802,0.320593,2.205339,8.139690,3.728568
0.020000,4.984055,7.744025,0.035162,0.367988,2.369768,8.221436,3.726085
0.020000,4.977066,7.739415,0.043534,0.418609,2.531051,8.064196,3.723252
0.020000,4.969162,7.734236,0.052983,0.472454,2.692217,8.058263,3.720042
0.020000,4.960284,7.728462,0.063574,0.529530,2.853795,8.078933,3.716430
0.020000,4.950370,7.722068,0.075371,0.589852,3.016098,8.115113,3.712388
0.020000,4.939359,7.715032,0.088438,0.653361,3.175454,7.967819,3.707888
0.020000,4.927186,7.707336,0.102840,0.720099,3.336906,8.072596,3.702902
0.020000,4.913787,7.698962,0.118640,0.790009,3.495498,7.929614,3.697399
0.020000,4.899095,7.689898,0.135903,0.863141,3.656603,8.055221,3.691348
0.020000,4.883043,7.680135,0.154691,0.939409,3.813414,7.840581,3.684718
0.020000,4.865560,7.669667,0.175069,1.018879,3.973491,8.003814,3.677475
0.020000,4.846574,7.658493,0.197098,1.101473,4.129711,7.811016,3.669585
0.020000,4.826013,7.646619,0.220842,1.187192,4.285947,7.811784,3.661012
0.020000,4.803798,7.634053,0.246365,1.276139,4.447330,8.069168,3.651721
0.020000,4.779853,7.620812,0.273727,1.368117,4.598936,7.580308,3.641674
0.020000,4.754095,7.606919,0.302993,1.463287,4.758452,7.975812,3.630833
0.020000,4.726443,7.592403,0.334224,1.561526,4.911962,7.675486,3.619162
0.020000,4.696811,7.577302,0.367482,1.662909,5.069142,7.858995,3.606622
0.020000,4.665110,7.561662,0.402830,1.767427,5.225897,7.837777,3.593176
0.020000,4.631281,7.545553,0.440299,1.873444,5.300866,3.748441,3.578801
0.020000,4.595319,7.529079,0.479855,1.977800,5.217786,-4.154023,3.563502
0.020000,4.557251,7.512361,0.521432,2.078847,5.052357,-8.271436,3.547300
0.020000,4.517106,7.495521,0.564966,2.176693,4.892321,-8.001826,3.530224
0.020000,4.474914,7.478685,0.610393,2.271367,4.733693,-7.931355,3.512305
0.020000,4.430708,7.461977,0.657652,2.362924,4.577834,-7.792995,3.493585
0.020000,4.384522,7.445522,0.706682,2.451500,4.428801,-7.451616,3.474111
0.020000,4.336394,7.429443,0.757424,2.537108,4.280421,-7.419033,3.453939
0.020000,4.286368,7.413861,0.809820,2.619818,4.135516,-7.245222,3.433134
0.020000,4.234488,7.398895,0.863816,2.699775,3.997835,-6.884061,3.411768
0.020000,4.180804,7.384658,0.919356,2.776987,3.860605,-6.861482,3.389920
0.020000,4.125370,7.371257,0.976387,2.851565,3.728910,-6.584751,3.367680
0.020000,4.068242,7.358794,1.034858,2.923546,3.599017,-6.494647,3.345141
0.020000,4.009484,7.347363,1.094718,2.993024,3.473900,-6.255871,3.322403
0.020000,3.949160,7.337048,1.155918,3.059979,3.347762,-6.306919,3.299569
0.020000,3.887340,7.327925,1.218407,3.124471,3.224608,-6.157689,3.276747
0.020000,3.824097,7.320058,1.282137,3.186506,3.101719,-6.144427,3.254043
0.020000,3.759508,7.313502,1.347059,3.246060,2.977710,-6.200456,3.231563
0.020000,3.693650,7.308300,1.413121,3.303121,2.853044,-6.233313,3.209410
0.020000,3.626606,7.304482,1.480274,3.357638,2.725862,-6.359097,3.187683
0.020000,3.558458,7.302068,1.548465,3.409556,2.595923,-6.496951,3.166475
0.020000,3.489289,7.301064,1.617641,3.458815,2.462909,-6.650694,3.145871
0.020000,3.419183,7.301468,1.687748,3.505335,2.326007,-6.845122,3.125952
0.020000,3.348225,7.303265,1.758729,3.549037,2.185117,-7.044490,3.106784
0.020000,3.276498,7.306428,1.830525,3.589837,2.039988,-7.256422,3.088431
0.020000,3.204085,7.310923,1.903078,3.627650,1.890677,-7.465562,3.070944
0.020000,3.131065,7.316705,1.976326,3.662396,1.737289,-7.669405,3.054365
0.020000,3.057520,7.323723,2.050206,3.693996,1.579987,-7.865097,3.038731
0.020000,2.983525,7.331917,2.124654,3.722369,1.418644,-8.067137,3.024068
0.020000,2.909155,7.341220,2.199603,3.747456,1.254342,-8.215112,3.010397
0.020000,2.834484,7.351562,2.274987,3.769193,1.086877,-8.373232,2.997730
0.020000,2.759582,7.362865,2.350737,3.787516,0.916171,-8.535320,2.986077
0.020000,2.684520,7.375050,2.426781,3.802186,0.733489,-9.134105,2.975440
0.020000,2.609404,7.388025,2.503009,3.811438,0.462587,-13.545095,2.965822
0.020000,2.534330,7.401698,2.579318,3.815441,0.200173,-13.120700,2.957220
0.020000,2.459361,7.415981,2.655635,3.815856,0.020703,-8.973480,2.949622
0.020000,2.384559,7.430783,2.731888,3.812650,-0.160265,-9.048402,2.943014
0.020000,2.309982,7.446015,2.808005,3.805811,-0.341981,-9.085818,2.937380
0.020000,2.235691,7.461588,2.883911,3.795318,-0.524618,-9.131846,2.932701
0.020000,2.161742,7.477414,2.959534,3.781156,-0.708097,-9.173929,2.928958
0.020000,2.088195,7.493408,3.034800,3.763312,-0.892235,-9.206926,2.926129
0.020000,2.015106,7.509483,3.109636,3.741770,-1.077078,-9.242151,2.924193
0.020000,1.942535,7.525560,3.183966,3.716524,-1.262314,-9.261781,2.923124
0.020000,1.870540,7.541557,3.257717,3.687558,-1.448279,-9.298243,2.922899
0.020000,1.799180,7.557400,3.330815,3.654862,-1.634813,-9.326703,2.923490
0.020000,1.728516,7.573015,3.403183,3.618423,-1.821952,-9.356945,2.924871
0.020000,1.658611,7.588333,3.474748,3.578228,-2.009756,-9.390198,2.927011
0.020000,1.589526,7.603289,3.545433,3.534262,-2.198290,-9.426725,2.929882
0.020000,1.521327,7.617825,3.615163,3.486506,-2.387783,-9.474629,2.933450
