dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000601,7.769008,0.000035,0.003485,0.174239,8.711943,0.000912
0.020000,0.000605,7.769008,0.000039,0.000230,-0.162747,-16.849312,0.000888
0.020000,0.000616,7.769008,0.000050,0.000517,0.014361,8.855411,0.000833
0.020000,0.000634,7.769008,0.000068,0.000919,0.020095,0.286728,0.000737
0.020000,0.000663,7.769008,0.000097,0.001435,0.025815,0.285978,0.000586
0.020000,0.000704,7.769008,0.000138,0.002065,0.031510,0.284751,0.000368
0.020000,0.000760,7.769008,0.000194,0.002809,0.037168,0.282925,0.000073
0.020000,0.002644,7.769007,0.002078,0.094201,4.569631,226.623138,6.282872
0.020000,0.005559,7.769006,0.004994,0.145764,2.578146,-99.574237,6.282385
0.020000,0.009158,7.769002,0.008593,0.179944,1.709000,-43.457338,6.281784
0.020000,0.013513,7.768994,0.012947,0.217717,1.888638,8.981908,6.281059
0.020000,0.018694,7.768981,0.018128,0.259078,2.068062,8.971223,6.280199
0.020000,0.024775,7.768960,0.024209,0.304025,2.247342,8.963986,6.279192
0.020000,0.031826,7.768927,0.031260,0.352554,2.426457,8.955765,6.278029
0.020000,0.039919,7.768880,0.039353,0.404661,2.605337,8.943994,6.276701
0.020000,0.049125,7.768814,0.048560,0.460340,2.783933,8.929811,6.275197
0.020000,0.059517,7.768722,0.058952,0.519585,2.962266,8.916652,6.273509
0.020000,0.071164,7.768598,0.070600,0.582391,3.140299,8.901639,6.271629
0.020000,0.084138,7.768435,0.083575,0.648748,3.317868,8.878451,6.269550
0.020000,0.098509,7.768222,0.097948,0.718651,3.495133,8.863215,6.267267
0.020000,0.114349,7.767950,0.113789,0.792087,3.671812,8.833988,6.264772
0.020000,0.131726,7.767607,0.131170,0.869050,3.848113,8.815030,6.262064
0.020000,0.150712,7.767178,0.150161,0.949523,4.023644,8.776569,6.259137
0.020000,0.171375,7.766648,0.170831,1.033499,4.198832,8.759396,6.255992
0.020000,0.193785,7.766001,0.193250,1.120961,4.373091,8.712957,6.252627
0.020000,0.218010,7.765217,0.217488,1.211897,4.546776,8.684247,6.249043
0.020000,0.244119,7.764275,0.243614,1.306288,4.719553,8.638827,6.245244
0.020000,0.272179,7.763154,0.271696,1.404119,4.891596,8.602173,6.241235
0.020000,0.302257,7.761827,0.301803,1.505372,5.062628,8.551598,6.237022
0.020000,0.334420,7.760270,0.334004,1.610026,5.232722,8.504684,6.232614
0.020000,0.368733,7.758454,0.368365,1.718060,5.401687,8.448240,6.228022
0.020000,0.405262,7.756349,0.404954,1.829456,5.569794,8.405339,6.223258
0.020000,0.444070,7.753925,0.443838,1.944184,5.736403,8.330476,6.218340
0.020000,0.485221,7.751147,0.485083,2.062226,5.902097,8.284719,6.213284
