dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000774,7.579008,0.000035,0.003485,0.174239,8.711943,0.000912
0.020000,0.000774,7.579008,0.000174,0.010454,0.348478,8.711943,0.000888
0.020000,0.000774,7.579008,0.000488,0.020909,0.522717,8.711943,0.000833
0.020000,0.000774,7.579008,0.001045,0.034848,0.696955,8.711943,0.000737
0.020000,0.000774,7.579008,0.001917,0.052272,0.871194,8.711943,0.000586
0.020000,0.000774,7.579008,0.003171,0.073180,1.045433,8.711943,0.000368
0.020000,0.000774,7.579008,0.004879,0.097574,1.219672,8.711943,0.000073
0.020000,0.002585,7.579007,0.007109,0.125452,1.393911,8.711943,6.282872
0.020000,0.005407,7.579006,0.009932,0.156815,1.568150,8.711943,6.282385
0.020000,0.008892,7.579002,0.013416,0.191663,1.742389,8.711943,6.281784
0.020000,0.013109,7.578994,0.017633,0.229995,1.916627,8.711943,6.281059
0.020000,0.018127,7.578982,0.022651,0.271813,2.090866,8.711943,6.280199
0.020000,0.024016,7.578961,0.028540,0.317115,2.265105,8.711943,6.279192
0.020000,0.030846,7.578930,0.035370,0.365902,2.439344,8.711943,6.278029
0.020000,0.038687,7.578884,0.043211,0.418173,2.613583,8.711943,6.276701
0.020000,0.047607,7.578820,0.052132,0.473930,2.787822,8.711943,6.275197
0.020000,0.057678,7.578731,0.062203,0.533171,2.962061,8.711943,6.273509
0.020000,0.068968,7.578611,0.073494,0.595897,3.136299,8.711943,6.271629
0.020000,0.081547,7.578452,0.086074,0.662108,3.310538,8.711943,6.269550
0.020000,0.095485,7.578246,0.100013,0.731803,3.484777,8.711943,6.267267
0.020000,0.110850,7.577983,0.115381,0.804984,3.659016,8.711943,6.264772
0.020000,0.127713,7.577649,0.132247,0.881649,3.833255,8.711943,6.262064
0.020000,0.146143,7.577233,0.150682,0.961798,4.007494,8.711943,6.259137
0.020000,0.166209,7.576718,0.170754,1.045433,4.181733,8.711943,6.255992
0.020000,0.187980,7.576090,0.192534,1.132553,4.355971,8.711943,6.252627
0.020000,0.211524,7.575327,0.216091,1.223157,4.530210,8.711943,6.249043
0.020000,0.236912,7.574412,0.241495,1.317246,4.704449,8.711943,6.245244
0.020000,0.264211,7.573321,0.268816,1.414820,4.878688,8.711943,6.241235
0.020000,0.293489,7.572030,0.298123,1.515878,5.052927,8.711943,6.237022
0.020000,0.324815,7.570513,0.329486,1.620421,5.227166,8.711943,6.232614
0.020000,0.358257,7.568743,0.362974,1.728449,5.401405,8.711943,6.228022
0.020000,0.393882,7.566690,0.398659,1.839962,5.575643,8.711943,6.223258
0.020000,0.431758,7.564324,0.436608,1.954960,5.749882,8.711943,6.218340
0.020000,0.471950,7.561611,0.476892,2.073442,5.924121,8.711943,6.213284
0.020000,0.514457,7.558524,0.519511,2.188440,5.749882,-8.711943,6.208121
0.020000,0.559206,7.555040,0.564395,2.299953,5.575643,-8.711943,6.202889
0.020000,0.606123,7.551140,0.611474,2.407981,5.401405,-8.711943,6.197627
0.020000,0.655137,7.546805,0.660679,2.512524,5.227166,-8.711943,6.192374
0.020000,0.706174,7.542023,0.711940,2.613583,5.052927,-8.711943,6.187168
0.020000,0.759163,7.536781,0.765187,2.711157,4.878688,-8.711943,6.182047
0.020000,0.814031,7.531073,0.820351,2.805246,4.704449,-8.711943,6.177049
0.020000,0.870706,7.524894,0.877362,2.895850,4.530210,-8.711943,6.172210
0.020000,0.929117,7.518246,0.936151,2.982969,4.355971,-8.711943,6.167566
0.020000,0.989193,7.511133,0.996646,3.066604,4.181733,-8.711943,6.163152
0.020000,1.050863,7.503563,1.058780,3.146754,4.007494,-8.711943,6.159001
0.020000,1.114059,7.495548,1.122482,3.223419,3.833255,-8.711943,6.155146
0.020000,1.178710,7.487107,1.187682,3.296599,3.659016,-8.711943,6.151619
0.020000,1.244749,7.478259,1.254311,3.366295,3.484777,-8.711943,6.148449
0.020000,1.312108,7.469030,1.322299,3.432505,3.310538,-8.711943,6.145666
0.020000,1.380719,7.459449,1.391576,3.495231,3.136299,-8.711943,6.143296
0.020000,1.450518,7.449549,1.462073,3.554473,2.962061,-8.711943,6.141366
0.020000,1.521438,7.439367,1.533720,3.610229,2.787822,-8.711943,6.139901
0.020000,1.593414,7.428944,1.606447,3.662501,2.613583,-8.711943,6.138924
0.020000,1.666383,7.418323,1.680185,3.711288,2.439344,-8.711943,6.138458
0.020000,1.740281,7.407551,1.754864,3.756590,2.265105,-8.711943,6.138523
0.020000,1.815045,7.396680,1.830414,3.798407,2.090866,-8.711943,6.139139
0.020000,1.890611,7.385761,1.906766,3.836740,1.916627,-8.711943,6.140325
0.020000,1.966919,7.374850,1.983849,3.871587,1.742389,-8.711943,6.142098
0.020000,2.043904,7.364005,2.061594,3.902950,1.568150,-8.711943,6.144473
0.020000,2.121505,7.353286,2.139932,3.930829,1.393911,-8.711943,6.147466
0.020000,2.199659,7.342753,2.218792,3.955222,1.219672,-8.711943,6.151087
0.020000,2.278303,7.332470,2.298106,3.976131,1.045433,-8.711943,6.155351
0.020000,2.357373,7.322500,2.377803,3.993555,0.871194,-8.711943,6.160265
0.020000,2.436807,7.312907,2.457813,4.007494,0.696955,-8.711943,6.165839
0.020000,2.516537,7.303755,2.538068,4.017948,0.522717,-8.711943,6.172078
0.020000,2.596500,7.295109,2.618496,4.024918,0.348478,-8.711943,6.178988
0.020000,2.676623,7.287033,2.699026,4.028066,0.157399,-9.553925,6.186570
0.020000,2.756802,7.279591,2.779549,4.024244,-0.191079,-17.423886,6.194819
0.020000,2.836930,7.272847,2.859961,4.016938,-0.365317,-8.711943,6.203728
0.020000,2.916937,7.266857,2.940192,4.006147,-0.539556,-8.711943,6.213291
0.020000,2.996748,7.261674,3.020172,3.991871,-0.713795,-8.711943,6.223495
0.020000,3.076290,7.257348,3.099832,3.974110,-0.888034,-8.711943,6.234328
0.020000,3.155486,7.253926,3.179102,3.952864,-1.062273,-8.711943,6.245773
0.020000,3.234256,7.251448,3.257912,3.928134,-1.236512,-8.711943,6.257809
0.020000,3.312522,7.249951,3.336192,3.899919,-1.410751,-8.711943,6.270413
0.020000,3.390201,7.249465,3.413874,3.868219,-1.584989,-8.711943,0.000370
0.020000,3.467211,7.250015,3.490886,3.833035,-1.759228,-8.711943,0.014020
0.020000,3.543468,7.251619,3.567160,3.794366,-1.933467,-8.711943,0.028141
0.020000,3.618885,7.254288,3.642626,3.752211,-2.107706,-8.711943,0.042695
0.020000,3.693379,7.258024,3.717214,3.706573,-2.281945,-8.711943,0.057637
