dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000947,7.389008,0.000035,0.003485,0.174239,8.711943,0.000912
0.020000,0.000943,7.389008,0.000039,0.000230,-0.162747,-16.849312,0.000888
0.020000,0.000932,7.389008,0.000050,0.000517,0.014361,8.855411,0.000833
0.020000,0.000914,7.389008,0.000068,0.000919,0.020095,0.286728,0.000737
0.020000,0.000885,7.389008,0.000097,0.001435,0.025815,0.285978,0.000586
0.020000,0.000844,7.389008,0.000138,0.002065,0.031510,0.284751,0.000368
0.020000,0.000788,7.389008,0.000194,0.002809,0.037168,0.282925,0.000073
0.020000,0.002525,7.389007,0.001932,0.086873,4.203200,208.301558,6.282872
0.020000,0.005255,7.389006,0.004662,0.136503,2.481516,-86.084189,6.282385
0.020000,0.008626,7.389002,0.008033,0.168533,1.601471,-44.002233,6.281784
0.020000,0.012705,7.388995,0.012111,0.203941,1.770421,8.447494,6.281059
0.020000,0.017559,7.388983,0.016966,0.242730,1.939429,8.450402,6.280199
0.020000,0.023257,7.388963,0.022664,0.284902,2.108612,8.459127,6.279192
0.020000,0.029866,7.388932,0.029273,0.330462,2.278007,8.469764,6.278029
0.020000,0.037455,7.388888,0.036861,0.379414,2.447610,8.480152,6.276701
0.020000,0.046090,7.388826,0.045497,0.431763,2.617442,8.491603,6.275197
0.020000,0.055840,7.388740,0.055247,0.487515,2.787594,8.507586,6.273509
0.020000,0.066772,7.388623,0.066181,0.546677,2.958107,8.525655,6.271629
0.020000,0.078957,7.388470,0.078366,0.609255,3.128909,8.540120,6.269550
0.020000,0.092460,7.388270,0.091871,0.675260,3.300237,8.566368,6.267267
0.020000,0.107352,7.388015,0.106765,0.744698,3.471917,8.584035,6.264772
0.020000,0.123701,7.387691,0.123117,0.817583,3.644240,8.616147,6.262064
0.020000,0.141574,7.387288,0.140995,0.893922,3.816939,8.634937,6.259137
0.020000,0.161043,7.386789,0.160470,0.973732,3.990519,8.678998,6.255992
0.020000,0.182174,7.386178,0.181610,1.057023,4.164538,8.700941,6.252627
0.020000,0.205039,7.385438,0.204486,1.143812,4.339442,8.745193,6.249043
0.020000,0.229705,7.384549,0.229169,1.234112,4.515031,8.779459,6.245244
0.020000,0.256243,7.383488,0.255727,1.327944,4.691589,8.827892,6.241235
0.020000,0.284721,7.382232,0.284234,1.425324,4.868972,8.869164,6.237022
0.020000,0.315211,7.380756,0.314759,1.526271,5.047371,8.919942,6.232614
0.020000,0.347782,7.379032,0.347375,1.630806,5.226726,8.967761,6.228022
0.020000,0.382503,7.377031,0.382155,1.738954,5.407416,9.034503,6.223258
0.020000,0.419446,7.374723,0.419169,1.850733,5.588954,9.076906,6.218340
0.020000,0.458680,7.372075,0.458493,1.966173,5.772012,9.152906,6.213284
0.020000,0.500208,7.369059,0.500130,2.081890,5.785827,0.690729,6.208121
0.020000,0.543966,7.365653,0.544020,2.194489,5.629983,-7.792206,6.202889
0.020000,0.589887,7.361835,0.590100,2.303976,5.474322,-7.783041,6.197627
0.020000,0.637906,7.357588,0.638307,2.410343,5.318339,-7.799153,6.192374
0.020000,0.687959,7.352898,0.688578,2.513595,5.162597,-7.787116,6.187168
0.020000,0.739979,7.347752,0.740853,2.613718,5.006179,-7.820855,6.182047
0.020000,0.793902,7.342142,0.795067,2.710713,4.849746,-7.821671,6.177049
0.020000,0.849664,7.336063,0.851159,2.804576,4.693140,-7.830293,6.172210
0.020000,0.907198,7.329515,0.909064,2.895289,4.535663,-7.873837,6.167566
0.020000,0.966441,7.322500,0.968721,2.982848,4.377959,-7.885229,6.163152
0.020000,1.027329,7.315026,1.030066,3.067246,4.219905,-7.902712,6.159001
0.020000,1.089798,7.307104,1.093036,3.148465,4.060949,-7.947784,6.155146
0.020000,1.153785,7.298749,1.157566,3.226500,3.901716,-7.961636,6.151619
0.020000,1.219227,7.289981,1.223592,3.301332,3.741607,-8.005437,6.148449
0.020000,1.286061,7.280823,1.291051,3.372956,3.581229,-8.018947,6.145666
0.020000,1.354227,7.271305,1.359878,3.441355,3.419918,-8.065540,6.143296
0.020000,1.423662,7.261456,1.430009,3.506517,3.258111,-8.090337,6.141366
0.020000,1.494307,7.251314,1.501377,3.568431,3.095713,-8.119894,6.139901
0.020000,1.566100,7.240917,1.573919,3.627085,2.932691,-8.151084,6.138924
0.020000,1.638981,7.230309,1.647568,3.682464,2.768964,-8.186366,6.138458
0.020000,1.712891,7.219536,1.722260,3.734559,2.604720,-8.212189,6.138523
0.020000,1.787771,7.208648,1.797927,3.783355,2.439814,-8.245329,6.139139
0.020000,1.863560,7.197697,1.874504,3.828841,2.274290,-8.276169,6.140325
0.020000,1.940201,7.186738,1.951924,3.871005,2.108213,-8.303845,6.142098
0.020000,2.017633,7.175830,2.030120,3.909833,1.941389,-8.341246,6.144473
0.020000,2.095797,7.165033,2.109027,3.945314,1.774032,-8.367826,6.147466
0.020000,2.174633,7.154409,2.188575,3.977431,1.605864,-8.408384,6.151087
0.020000,2.254080,7.144021,2.268699,4.006174,1.437152,-8.435604,6.155351
0.020000,2.334077,7.133934,2.349329,4.031526,1.267607,-8.477286,6.160265
0.020000,2.414562,7.124214,2.430399,4.053470,1.097202,-8.520246,6.165839
0.020000,2.495471,7.114927,2.511838,4.071990,0.925982,-8.560975,6.172078
0.020000,2.576738,7.106140,2.593580,4.087066,0.753816,-8.608321,6.178988
0.020000,2.658295,7.097919,2.675550,4.098507,0.572047,-9.088444,6.186570
0.020000,2.740034,7.090333,2.757640,4.104512,0.300250,-13.589846,6.194819
0.020000,2.821849,7.083447,2.839744,4.105217,0.035275,-13.248769,6.203728
0.020000,2.903667,7.077321,2.921792,4.102367,-0.142541,-8.890767,6.213291
0.020000,2.985414,7.072013,3.003710,4.095933,-0.321701,-8.958011,6.223495
0.020000,3.067011,7.067575,3.085428,4.085885,-0.502376,-9.033759,6.234328
0.020000,3.148379,7.064059,3.166872,4.072192,-0.684661,-9.114246,6.245773
0.020000,3.229435,7.061509,3.247968,4.054819,-0.868638,-9.198867,6.257809
0.020000,3.310095,7.059966,3.328643,4.033733,-1.054288,-9.282486,6.270413
0.020000,3.390271,7.059465,3.408821,4.008895,-1.241913,-9.381244,0.000370
0.020000,3.469875,7.060034,3.488426,3.980269,-1.431282,-9.468443,0.014020
0.020000,3.548814,7.061694,3.567383,3.947821,-1.622430,-9.557395,0.028141
0.020000,3.626995,7.064461,3.645613,3.911512,-1.815451,-9.651057,0.042695
0.020000,3.704324,7.068340,3.723039,3.871309,-2.010157,-9.735308,0.057637
0.020000,3.780705,7.073330,3.799583,3.827178,-2.206530,-9.818622,0.072922
0.020000,3.856041,7.079421,3.875164,3.779092,-2.404318,-9.889427,0.088500
0.020000,3.930235,7.086593,3.949705,3.727022,-2.603502,-9.959173,0.104317
0.020000,4.003192,7.094820,4.023124,3.670949,-2.803624,-10.006106,0.120320
0.020000,4.074815,7.104064,4.095341,3.610849,-3.005029,-10.070287,0.136452
0.020000,4.145010,7.114280,4.166275,3.546712,-3.206854,-10.091221,0.152654
0.020000,4.213684,7.125414,4.235846,3.478543,-3.408405,-10.077568,0.168869
0.020000,4.280746,7.137405,4.303972,3.406318,-3.611263,-10.142883,0.185036
0.020000,4.346111,7.150182,4.370574,3.330066,-3.812623,-10.068023,0.201098
0.020000,4.409691,7.163670,4.435569,3.249763,-4.015131,-10.125389,0.216998
0.020000,4.471407,7.177783,4.498878,3.165464,-4.214963,-9.991592,0.232678
0.020000,4.531181,7.192434,4.560421,3.077154,-4.415513,-10.027518,0.248085
0.020000,4.588939,7.207528,4.620119,2.984880,-4.613655,-9.907085,0.263167
0.020000,4.644611,7.222967,4.677892,2.888638,-4.812118,-9.923167,0.277874
0.020000,4.698130,7.238647,4.733661,2.788461,-5.008847,-9.836459,0.292161
0.020000,4.749435,7.254465,4.787349,2.684425,-5.201826,-9.648913,0.305984
0.020000,4.798467,7.270314,4.838879,2.576484,-5.397053,-9.761352,0.319303
0.020000,4.845170,7.286087,4.888174,2.464727,-5.587819,-9.538298,0.332081
0.020000,4.889492,7.301674,4.935157,2.349155,-5.778602,-9.539188,0.344283
0.020000,4.931383,7.316970,4.979753,2.229804,-5.967547,-9.447221,0.355879
0.020000,4.970803,7.331869,5.021894,2.107057,-6.137361,-8.490721,0.366841
0.020000,5.007779,7.346296,5.061585,1.984570,-6.124333,0.651405,0.377165
0.020000,5.042405,7.360206,5.098900,1.865752,-5.940904,9.171453,0.386865
0.020000,5.074767,7.373563,5.133911,1.750527,-5.761259,8.982234,0.395958
0.020000,5.104957,7.386334,5.166691,1.638983,-5.577185,9.203727,0.404460
0.020000,5.133060,7.398496,5.197312,1.531082,-5.395047,9.106890,0.412391
0.020000,5.159162,7.410030,5.225850,1.426881,-5.210061,9.249327,0.419769
0.020000,5.183348,7.420924,5.252376,1.326290,-5.029558,9.025151,0.426615
0.020000,5.205701,7.431169,5.276964,1.229440,-4.842498,9.352970,0.432950
0.020000,5.226301,7.440764,5.299690,1.136261,-4.658976,9.176114,0.438793
0.020000,5.245229,7.449709,5.320624,1.046732,-4.476447,9.126422,0.444166
0.020000,5.262562,7.458010,5.339843,0.960920,-4.290587,9.293009,0.449089
0.020000,5.278377,7.465675,5.357418,0.878763,-4.107828,9.137940,0.453583
0.020000,5.292751,7.472719,5.373424,0.800310,-3.922643,9.259251,0.457669
0.020000,5.305756,7.479154,5.387934,0.725511,-3.739960,9.134173,0.461367
0.020000,5.317466,7.485000,5.401023,0.654415,-3.554813,9.257373,0.464698
0.020000,5.327953,7.490277,5.412762,0.586975,-3.372003,9.140464,0.467681
0.020000,5.337287,7.495007,5.423227,0.523223,-3.187586,9.220865,0.470336
0.020000,5.345539,7.499214,5.432489,0.463142,-3.004038,9.177387,0.472684
0.020000,5.352778,7.502925,5.440624,0.406725,-2.820852,9.159334,0.474744
0.020000,5.359071,7.506167,5.447703,0.353964,-2.638082,9.138476,0.476535
0.020000,5.364488,7.508968,5.453801,0.304896,-2.453376,9.235297,0.478076
0.020000,5.369094,7.511359,5.458991,0.259496,-2.270035,9.167061,0.479387
0.020000,5.372957,7.513370,5.463346,0.217724,-2.088564,9.073566,0.480486
0.020000,5.376142,7.515032,5.466938,0.179642,-1.904097,9.223331,0.481392
0.020000,5.378716,7.516378,5.469843,0.145240,-1.720097,9.199992,0.482125
0.020000,5.380744,7.517440,5.472133,0.114466,-1.538697,9.069982,0.482702
0.020000,5.382292,7.518251,5.473880,0.087361,-1.355281,9.170813,0.483142
0.020000,5.383424,7.518845,5.475159,0.063939,-1.171105,9.208824,0.483464
0.020000,5.384206,7.519256,5.476042,0.044167,-0.988595,9.125504,0.483687
0.020000,5.384703,7.519517,5.476603,0.028050,-0.805850,9.137244,0.483828
0.020000,5.384979,7.519662,5.476915,0.015591,-0.622948,9.145099,0.483907
0.020000,5.385099,7.519725,5.477051,0.006792,-0.439951,9.149850,0.483941
0.020000,5.385128,7.519741,5.477084,0.001654,-0.256905,9.152288,0.483949
0.020000,5.385128,7.519741,5.477084,0.000000,-0.082687,8.710884,0.483949
